Date,wealth_dynamic_net,wealth_static
2022-12-31,0.9827022235236152,0.970906061782989
2023-01-31,1.0370888389281612,1.032098539875809
2023-02-28,0.9992218700653418,0.9973820606120563
2023-03-31,1.0313688669610441,1.0266608913145123
2023-04-30,1.0404610386755118,1.0398064396445184
2023-05-31,1.0235868311013245,1.0230602279039789
2023-06-30,1.033297343649153,1.0485974226665205
2023-07-31,1.0552780279238847,1.0682306355755187
2023-08-31,1.0332980034028771,1.0467546490328048
2023-09-30,0.9869121771168587,1.001745217171077
2023-10-31,0.9726844268093949,0.9876356284260938
2023-11-30,1.0284391489301212,1.0580448871745483
2023-12-31,1.0705646537009799,1.100896965894331
2024-01-31,1.0691553251228287,1.0975281583732517
2024-02-29,1.0966874323089422,1.118124954647022
2024-03-31,1.1304718681286283,1.149590872090933
2024-04-30,1.0930492874571878,1.1129897958043216
2024-05-31,1.1209662939504421,1.1525418851552123
2024-06-30,1.1296205727836492,1.159183025134089
2024-07-31,1.1607262430573555,1.1921352261365699
2024-08-31,1.1843430787562415,1.2210973899066464
2024-09-30,1.2093294908479537,1.2435851584323536
2024-10-31,1.1923581321755243,1.2178139926552252
2024-11-30,1.2220974966532983,1.2431091809320507
2024-12-31,1.1812434508128322,1.2016613558150666
2025-01-31,1.2112149826281486,1.2348785461763823
2025-02-28,1.2317313912451446,1.2513229329067248
2025-03-31,1.2386840581811296,1.2369612093404911
2025-04-30,1.2526285014562044,1.246950847902302
2025-05-31,1.266464020279645,1.2802595273879531
2025-06-30,1.283512172922523,1.3049304963862434
2025-07-31,1.2865100651519015,1.3055149342954857
2025-08-31,1.3217936625040678,1.3397528751814112
2025-09-30,1.3610415786120236,1.376209555307163
2025-10-31,1.3795803405799232,1.3920725000112104
2025-11-30,1.399507337504882,1.4069565415830292
2025-12-31,1.396135488124926,1.4032642053627227
2026-01-31,1.4381435852397755,1.445173196448593
2026-02-28,1.4505634444221565,1.4597856842993717
